I receive training to do my job effectively,There is someone at work who encourages,I have been mentored at work,I have received fair consideration,Overall I am satisfied with the program,Management and Diversity,Human Resources,Information Technology,worker's Compensation,The wellness program,My physical work environment ,My immediate supervisor treats me well,I know what is expected of me at work,I am comfortable expressing my opinion,I believe my opinions matter at work,My supervisor makes good recommendation,I receive constructive feedback on,My immediate supervisor knows my,My immediate supervisor supports,When I request training my supervisor approves,Conflict in my work area is resolved,I believe assignments in my dept,I believe poor job performance is,I feel safe and comfortable in my role,Overall I am satisfied with the work,Health care plan meets my needs,The City does a good job of information,The amount of leave that I receive is sufficient,The amount I am paid is fair for the job,I am satisfied with the City's def,Overall I am reasonably compensat,I receive information that affects,I can express my opinions about wo,Generally communication between w,I am encouraged to be innovative,I am aware of the values,I feel the City practices these values,My co-workers treat me with respect,Overall how satisfied are you with work
5,4,5,9,9,9,9,9,9,9,3,5,5,5,5,5,5,5,5,5,4,4,4,4,5,9,9,9,9,9,2,5,2,2,4,4,4,5,2
5,4,4,5,4,5,4,5,5,9,4,5,5,5,5,5,4,4,4,5,4,4,9,4,4,9,4,5,5,5,5,4,4,4,5,5,5,5,1
3,3,3,2,3,3,3,3,3,2,4,3,4,3,2,4,4,4,3,2,3,3,3,3,3,3,3,4,3,3,4,4,3,3,2,4,3,3,2
4,1,1,3,2,3,2,3,3,3,5,5,5,5,4,3,3,4,3,3,3,4,4,4,4,2,3,5,4,2,4,4,4,2,3,4,2,4,3
4,4,4,9,4,3,4,5,3,4,4,5,4,4,4,4,4,4,4,4,2,2,2,4,4,2,4,4,4,4,4,4,2,9,4,2,3,4,1
5,4,4,4,3,4,2,5,9,3,5,5,4,5,5,5,3,2,3,5,2,5,1,5,5,3,5,1,2,5,2,4,5,4,4,5,2,4,2
3,3,3,2,1,3,4,2,2,4,5,5,4,5,4,4,4,3,3,4,1,2,1,5,4,4,5,4,2,4,3,4,2,4,3,3,3,5,2
4,3,3,9,3,3,4,4,3,4,5,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4,4,2
2,3,1,3,1,3,3,5,4,5,4,2,2,2,2,2,2,2,2,3,1,2,2,4,2,3,4,4,3,3,3,1,3,1,2,4,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,1
5,5,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,3,4,4,4,4,5,5,4,4,4,2
3,3,3,3,4,3,3,4,4,5,1,1,2,1,2,2,1,1,1,2,2,2,2,2,2,5,4,3,2,3,2,2,3,3,2,3,2,4,3
4,1,2,3,3,3,3,1,3,3,1,3,4,2,3,3,3,9,9,2,3,2,1,2,2,4,4,4,4,4,4,3,3,1,3,3,2,4,2
4,4,4,4,4,4,4,4,9,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,2
4,4,4,2,3,3,4,4,4,4,4,4,4,4,4,2,4,4,4,4,3,4,2,4,4,4,4,2,4,3,4,3,3,4,4,4,4,4,2
4,2,4,1,9,2,2,2,2,4,2,5,5,5,1,5,4,5,5,5,2,2,2,4,4,2,4,4,4,4,4,4,2,2,2,4,2,4,2
5,5,5,4,4,4,4,2,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,4,4,4,4,2,4,5,5,4,5,4,4,4,1
4,4,3,3,4,4,3,3,3,4,3,4,4,4,3,4,4,4,4,4,4,3,3,4,3,3,4,3,3,3,3,3,4,4,4,4,4,3,2
3,4,4,4,4,4,4,5,3,5,4,4,2,1,2,1,1,1,2,4,5,1,1,5,4,5,5,5,5,5,5,1,5,4,4,5,5,5,2
3,4,3,9,3,9,9,4,9,9,4,4,4,4,4,4,4,4,4,3,9,4,9,4,4,9,9,9,9,9,9,4,4,9,4,9,9,4,1
4,2,4,4,5,4,3,5,5,3,2,3,3,5,1,3,1,5,4,1,1,1,1,5,3,4,4,4,4,4,4,1,5,2,5,5,5,4,2
4,5,5,5,4,4,4,1,4,3,4,5,5,5,4,5,5,5,4,4,4,4,4,5,5,4,4,5,4,5,5,4,5,4,4,4,3,4,2
4,3,2,3,4,3,3,3,3,4,1,4,4,2,2,3,3,2,2,4,2,2,2,3,3,4,4,2,3,9,4,4,3,3,3,4,3,4,2
4,3,2,1,2,1,2,1,2,2,1,5,5,4,2,5,5,4,4,5,3,2,1,3,3,1,4,4,2,3,2,4,1,1,2,4,1,3,3
4,4,4,5,5,3,3,3,3,5,2,5,5,5,4,5,5,5,5,5,4,4,3,3,5,4,4,5,4,4,4,4,5,4,4,4,4,5,1
4,3,9,3,3,3,3,4,4,4,4,4,3,4,4,3,3,3,3,4,4,3,3,4,4,5,5,4,3,4,3,3,4,3,4,4,4,4,2
4,4,2,4,4,3,4,4,4,4,4,5,5,4,4,4,4,4,5,4,4,4,4,4,5,3,4,4,4,1,4,4,3,4,4,4,4,4,2
5,5,5,5,9,9,3,4,3,9,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,2,4,4,1,9,9,5,4,4,4,4,4,4,2
4,2,2,2,3,1,3,3,3,2,4,1,2,1,2,1,3,1,2,3,3,3,2,3,3,3,3,4,4,4,4,2,2,4,2,3,3,3,2
5,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
4,1,2,3,9,9,9,9,9,1,1,5,5,5,2,5,5,5,4,3,5,3,3,4,3,1,1,1,1,1,1,3,3,3,3,4,3,3,2
4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,4,2,2,3,3,3,3,3,3,3,3,3,2
4,4,4,4,4,3,3,3,3,4,4,5,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,2
3,3,1,4,4,9,2,5,3,4,1,5,3,5,3,4,4,2,3,4,2,2,2,4,2,4,4,4,1,9,9,2,2,2,4,4,3,5,3
4,4,4,4,4,3,4,3,4,2,3,5,4,4,4,4,4,4,4,4,4,4,3,4,4,5,4,5,4,4,4,4,4,3,3,3,4,4,2
4,4,4,2,3,3,4,4,3,4,3,4,4,4,2,3,4,4,4,4,3,4,3,4,3,4,4,4,4,4,4,3,4,3,4,4,4,4,2
3,1,4,3,3,9,9,9,9,3,9,5,5,3,1,4,3,3,2,9,9,9,4,9,3,5,5,1,1,4,2,3,4,4,2,2,3,4,3
3,2,3,2,2,1,1,1,1,4,4,3,4,2,2,3,4,3,3,2,3,4,3,4,3,2,3,3,1,2,1,4,2,2,2,4,3,4,2
3,3,4,3,3,9,9,9,9,4,4,4,3,2,2,3,3,4,3,3,9,4,3,4,4,4,4,3,3,3,4,4,9,3,3,4,3,4,2
4,4,3,3,4,4,1,1,4,4,3,5,4,5,4,5,5,3,4,5,1,5,2,4,5,4,4,4,2,4,2,5,5,5,5,5,4,5,2
5,5,5,5,5,4,4,5,4,1,5,5,5,5,4,5,5,5,5,5,4,5,2,5,5,4,4,5,2,3,4,5,4,4,5,5,5,5,1
1,1,1,1,3,9,9,9,9,3,3,3,3,1,3,3,1,1,3,3,3,3,1,3,2,4,3,4,4,3,4,3,3,1,2,3,1,5,4
4,5,4,3,4,4,4,4,4,4,4,5,5,5,4,5,4,5,5,4,4,3,2,4,4,4,5,4,3,4,4,4,4,4,4,5,4,4,2
3,4,5,4,4,4,3,2,3,2,4,4,1,2,2,1,1,4,4,4,1,1,1,3,1,4,2,4,2,4,4,1,4,4,4,5,4,4,2
2,2,2,2,1,2,1,4,9,9,2,3,5,2,3,9,9,9,9,2,1,2,2,3,3,9,1,9,1,9,1,4,1,9,4,4,3,5,1
3,5,5,5,4,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,9,2,5,5,4,4,3,3,4,4,5,4,4,5,5,4,5,1
3,5,5,4,4,9,4,4,9,2,4,4,4,4,4,4,4,5,5,4,3,2,3,4,4,4,4,4,3,2,3,3,9,4,4,3,4,4,2
2,3,2,3,4,2,4,1,4,4,2,4,4,3,2,3,3,3,3,4,2,1,2,3,2,4,4,3,2,4,2,1,2,1,4,4,2,4,2
4,1,1,1,2,2,2,4,9,1,1,5,4,2,2,2,2,1,1,5,2,1,5,2,9,1,4,1,1,1,1,4,2,1,2,5,1,4,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4
3,4,3,3,3,3,3,3,3,3,4,5,4,5,3,5,5,4,4,5,3,3,3,5,3,2,3,4,4,3,2,4,9,3,3,4,3,4,2
3,2,4,4,2,3,3,3,3,4,4,2,4,4,2,3,3,4,3,4,2,9,2,4,3,4,4,2,2,4,4,2,3,2,4,4,4,4,2
2,1,1,3,2,3,2,3,3,4,1,1,2,2,1,2,1,3,2,3,1,3,1,3,2,4,5,4,4,4,4,1,1,1,3,3,2,3,2
4,4,4,9,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,1,1,1,3,3,5,5,4,4,4,4,2,4,2,4,4,3,4,2
4,4,3,9,3,4,3,4,3,9,5,5,4,3,3,4,3,2,3,4,2,4,3,4,4,4,4,1,3,4,3,4,4,4,4,4,4,3,1
5,4,4,5,5,4,5,4,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,4,5,2
2,4,3,3,2,3,3,4,3,4,4,4,4,4,5,5,5,5,5,5,3,3,3,4,3,4,4,4,2,2,3,4,2,4,4,4,4,5,2
5,2,2,3,4,4,4,4,9,4,3,5,5,3,3,3,2,5,3,1,4,1,4,5,4,9,4,4,3,4,4,4,4,3,3,4,4,5,2
2,1,1,1,2,4,3,4,3,4,4,2,2,1,1,1,1,1,1,2,2,2,1,2,2,4,4,4,2,4,2,2,4,4,1,4,2,4,3
5,4,2,1,4,3,4,4,3,4,4,5,5,4,2,4,4,4,2,5,2,3,1,4,4,4,3,2,2,2,2,4,4,2,3,4,4,4,2
5,5,5,1,2,5,5,5,5,5,4,3,5,1,1,1,4,2,2,3,1,1,2,4,2,5,5,5,4,4,4,4,1,1,4,5,2,3,2
3,3,3,4,1,4,2,4,3,4,1,1,3,1,2,1,1,1,2,4,1,1,2,4,1,4,5,5,4,3,4,1,3,2,2,5,2,5,4
4,4,4,4,4,4,4,3,3,4,3,5,5,5,5,5,5,5,5,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
4,4,4,1,5,5,1,4,3,4,4,5,5,5,1,4,5,5,5,5,4,4,4,4,2,2,3,4,1,1,1,5,1,3,3,2,1,4,1
2,2,2,9,4,3,1,5,5,3,5,4,5,4,3,4,4,5,5,5,4,4,4,4,5,4,4,4,2,4,2,4,3,1,4,5,2,5,2
4,5,2,3,2,3,4,4,4,5,4,2,4,2,4,2,2,4,4,4,1,4,2,4,4,4,4,2,4,4,4,2,4,2,4,9,9,4,1
4,4,4,4,4,4,3,4,3,3,4,5,5,5,5,4,4,3,3,4,4,4,4,5,5,3,2,4,4,4,4,4,5,5,5,4,4,5,1
5,5,5,4,4,3,4,4,3,3,2,5,4,4,4,5,5,4,5,5,3,4,3,4,4,4,4,4,3,4,4,4,3,2,4,3,4,4,1
4,4,4,4,4,4,3,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,3,3,3,3,3,4,4,4,2
4,3,1,3,3,3,3,3,3,1,4,5,4,3,3,4,4,2,3,4,4,4,3,5,4,3,3,3,4,2,4,3,3,3,3,4,4,4,2
5,5,5,2,4,4,4,5,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,2,2,4,3,5,5,5,5,5,3,4,1
4,4,3,3,3,3,3,4,4,2,5,4,4,3,3,3,3,2,3,4,4,4,3,3,4,2,3,4,2,4,3,3,5,4,5,5,4,4,2
3,4,3,3,3,9,3,3,3,4,3,3,4,2,2,2,3,4,3,4,2,3,2,3,3,3,4,3,4,3,4,3,3,9,3,4,3,3,2
4,3,2,4,4,3,4,4,9,4,4,3,4,3,3,4,4,3,3,4,9,4,9,3,3,4,4,3,4,4,4,4,4,4,3,4,4,4,2
4,4,4,4,4,9,3,4,3,3,4,5,5,5,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,9,4,4,3,4,4,4,4,4,1
4,4,4,5,4,4,4,3,3,4,5,4,4,5,5,4,3,4,4,3,4,4,3,5,4,4,4,4,4,4,4,4,5,4,4,5,4,5,1
2,4,2,9,4,9,4,5,9,4,5,5,4,5,5,4,4,2,4,3,3,2,1,4,4,4,5,4,3,4,4,3,4,4,4,5,5,5,2
5,9,5,5,5,9,9,9,9,5,1,5,5,5,3,5,5,5,5,5,9,5,9,5,5,5,5,5,5,5,5,5,3,9,9,5,9,5,1
4,4,4,4,4,3,2,3,1,4,3,5,5,5,4,5,5,5,5,5,2,3,2,4,4,4,3,4,2,2,3,3,3,3,3,3,3,4,2
4,2,1,4,4,3,4,4,3,4,4,5,5,4,3,5,3,4,3,3,4,4,4,5,4,5,4,5,5,5,5,4,2,2,4,3,4,5,2
4,3,3,2,2,3,3,3,3,4,4,5,5,5,2,5,4,4,4,5,2,3,1,4,3,4,3,4,4,4,4,5,2,2,2,4,2,4,2
4,4,3,9,9,9,4,9,4,4,4,5,4,4,3,4,4,4,4,5,3,4,2,3,4,3,4,4,4,3,4,4,9,3,3,4,4,4,9
4,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,3,4,5,1
4,4,4,4,4,9,3,9,9,4,3,5,5,5,3,4,4,5,5,5,3,4,2,3,4,4,5,3,3,4,3,3,4,3,3,5,4,5,2
4,4,4,4,3,9,1,9,1,3,2,4,5,4,2,4,3,2,3,9,9,4,9,4,3,1,3,1,3,9,3,4,9,2,9,5,3,3,2
4,4,4,2,4,4,4,4,1,2,9,5,5,4,4,4,4,4,4,5,4,4,9,5,4,1,4,1,4,9,2,4,4,2,4,4,2,4,2
5,5,5,5,4,2,5,4,4,3,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,4,4,4,3,4,4,5,5,5,4,4,3,5,1
3,4,4,9,4,3,3,3,3,4,4,1,3,1,1,1,1,3,1,3,1,1,1,3,3,4,4,4,3,4,4,1,1,1,1,4,3,1,2
3,3,3,5,5,3,5,2,4,2,5,5,5,9,5,5,5,5,5,4,3,4,4,5,5,4,4,5,5,5,4,5,4,4,4,3,5,5,1
4,4,2,4,4,3,4,4,3,4,4,5,4,4,4,5,4,4,4,4,4,4,2,4,4,4,4,4,2,4,2,4,4,4,3,3,3,4,2
4,5,4,4,4,4,5,5,3,3,4,5,5,5,5,5,5,5,5,5,4,2,2,4,4,5,5,5,4,5,4,4,5,4,5,5,4,4,2
4,4,2,3,4,9,9,9,9,4,2,4,4,4,4,3,3,4,3,4,4,4,2,4,4,4,4,2,4,4,4,2,4,4,4,4,4,9,2
3,3,3,3,3,3,3,3,3,9,4,4,4,4,2,3,3,4,4,3,5,1,4,4,3,4,4,4,4,4,4,3,9,2,1,4,4,5,3
4,4,4,3,3,4,4,9,9,9,5,5,5,5,3,5,3,9,9,2,5,9,9,5,3,3,4,9,9,4,9,3,9,9,5,5,4,3,1
4,2,2,4,3,3,3,4,3,4,3,4,4,4,3,4,3,2,2,4,3,3,3,4,4,4,4,4,9,4,3,3,4,4,3,4,3,4,2
5,5,4,5,5,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,9,5,5,5,5,5,5,5,5,5,5,4,5,5,5,1
5,5,5,4,3,3,3,3,5,5,4,4,3,4,3,3,3,3,4,4,4,3,1,5,5,4,4,4,4,4,3,3,4,3,4,4,4,5,1
5,4,3,5,5,3,4,4,4,4,5,5,9,5,5,5,5,4,4,5,4,4,3,5,5,4,4,4,2,4,3,4,5,4,5,4,4,4,2
4,4,4,4,4,4,4,4,2,4,4,5,5,4,2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,1,4,2,4,4,4,1
4,3,3,1,1,2,1,2,3,1,1,5,5,5,1,4,5,5,5,1,3,2,3,3,3,1,1,3,4,3,3,4,3,2,3,4,4,4,4
3,1,1,1,1,9,9,1,9,4,4,1,3,1,1,2,1,1,1,1,1,1,1,1,1,3,5,5,1,5,1,1,1,3,1,5,2,3,3
4,5,4,5,4,5,4,4,9,4,2,4,4,4,5,4,4,5,5,4,4,5,4,5,4,5,5,4,5,5,5,5,5,5,5,5,4,5,1
4,2,1,1,2,3,3,3,3,4,2,4,4,3,2,2,4,1,9,9,1,1,1,4,3,3,3,9,2,9,2,2,2,2,1,9,3,4,2
2,4,2,4,3,3,4,4,3,2,3,4,4,2,2,3,2,3,3,2,2,2,1,4,2,4,4,4,3,3,4,2,4,3,4,4,3,4,2
5,4,4,5,5,3,4,3,3,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
5,5,4,5,5,4,5,5,4,4,5,5,5,5,5,5,5,4,5,5,3,5,2,5,5,4,3,5,3,4,4,4,4,4,5,4,4,4,1
2,2,2,2,1,4,5,2,4,4,1,5,4,4,4,5,5,5,5,5,4,1,1,4,2,2,4,4,4,4,4,5,2,1,4,4,2,2,2
4,3,3,4,3,2,4,4,4,4,2,4,4,3,3,4,4,4,4,4,2,2,3,4,4,4,4,4,4,4,4,4,3,2,3,3,3,4,2
4,3,3,2,2,2,1,3,3,3,2,4,4,4,1,3,3,3,3,3,3,3,2,2,2,2,2,2,1,2,2,2,1,2,1,4,2,4,3
5,3,5,5,5,3,5,5,3,5,3,5,5,9,2,3,5,9,9,2,1,2,1,5,4,4,4,3,4,4,4,5,2,5,3,5,5,5,1
2,1,1,2,2,3,3,3,3,3,4,1,4,1,1,1,1,3,3,3,1,1,1,2,2,4,4,4,2,4,2,2,1,1,1,4,1,5,2
5,5,5,5,5,3,5,2,9,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,9,9,5,5,5,5,5,5,3,1
4,4,4,5,4,4,4,4,3,4,5,5,4,4,4,4,4,5,5,5,4,4,3,5,5,4,5,2,4,4,4,4,5,4,5,4,4,4,1
5,5,5,5,4,4,4,4,4,1,4,5,5,5,2,5,5,5,5,5,4,4,1,4,4,2,1,2,4,4,4,9,9,9,9,9,9,9,2
3,2,2,3,3,9,9,9,9,4,5,5,5,5,3,5,5,4,4,3,1,3,1,5,5,5,5,4,2,4,3,5,3,2,1,5,3,5,1
4,2,2,2,2,9,9,9,9,3,4,2,4,2,1,4,4,2,2,2,4,2,2,4,3,4,4,4,4,2,4,4,2,4,2,4,4,4,2
3,4,1,1,1,9,9,9,1,1,3,5,5,4,1,4,4,3,3,4,1,1,1,4,3,1,1,2,1,1,1,4,1,1,1,9,1,3,9
4,5,5,4,4,3,4,4,2,4,4,5,5,5,5,5,5,5,5,5,4,4,2,5,5,4,5,5,5,5,4,5,5,5,5,5,4,5,1
4,4,3,3,4,9,4,9,9,9,4,4,4,4,4,4,4,4,4,5,9,3,9,9,2,4,2,3,4,9,3,3,2,2,1,4,3,4,3
5,5,4,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,1
4,4,2,4,3,9,4,4,4,4,4,5,4,5,4,5,4,4,5,4,4,4,4,5,4,4,4,4,3,3,4,4,5,4,3,4,4,4,2
3,3,3,4,3,3,4,3,3,3,3,1,4,1,1,3,1,3,3,3,1,3,2,1,1,4,4,4,4,4,4,4,9,1,3,4,2,2,3
4,4,3,3,3,9,9,9,4,3,3,4,4,2,2,3,3,3,2,2,3,2,2,4,3,3,3,3,3,3,3,3,2,3,2,3,3,4,2
3,3,3,3,3,3,5,4,4,4,3,4,4,4,3,4,4,4,4,3,9,2,1,4,4,3,4,4,4,1,3,4,3,3,2,4,4,4,2
2,1,1,4,3,4,4,4,2,2,5,1,5,1,1,1,1,1,1,1,1,2,1,1,1,2,4,4,5,4,5,1,4,3,1,5,4,3,3
4,2,2,4,4,3,3,3,3,3,3,3,4,1,1,9,1,2,3,4,1,4,2,3,4,4,4,3,4,3,4,4,4,3,2,4,4,4,2
4,3,3,4,9,1,4,3,3,2,3,4,2,4,1,3,3,3,3,4,2,1,1,4,3,3,4,2,2,4,3,3,3,1,1,2,4,4,2
4,2,3,1,4,3,5,5,5,4,1,4,4,4,3,4,4,3,3,4,3,4,2,4,4,4,4,1,4,4,4,4,3,4,4,4,4,4,2
4,4,3,4,9,9,9,9,9,4,1,4,4,4,4,4,4,4,4,4,4,4,9,2,3,4,2,4,4,4,4,4,4,4,2,4,4,4,1
5,4,3,5,5,4,4,4,4,4,5,5,4,4,3,5,4,3,3,5,3,3,2,4,4,4,4,5,5,5,5,4,4,1,4,4,4,4,1
5,4,4,5,5,4,5,5,4,4,4,1,4,1,3,2,1,2,1,4,4,4,2,4,2,4,5,4,3,4,4,4,4,4,3,4,4,5,2
4,4,4,9,9,9,5,9,4,4,4,5,5,4,4,5,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,9,4,4,4,4,9,1
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
4,4,4,4,4,2,3,4,2,4,4,5,5,5,5,5,5,5,5,5,3,4,2,5,5,4,4,4,4,4,4,4,3,4,4,4,4,5,1
4,5,5,9,9,9,5,5,9,5,5,5,5,5,5,5,4,5,5,5,5,5,2,5,5,5,5,5,5,9,4,5,9,9,4,4,4,5,2
5,4,3,4,4,3,4,4,4,3,3,5,5,5,3,4,3,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,2,3,3,4,4,4,1
1,1,3,9,3,5,5,5,9,5,1,1,5,1,3,4,3,5,2,3,1,1,1,2,3,4,3,2,1,3,1,3,5,1,1,5,5,3,3
4,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,4,1,4,3,4,3,4,4,5,5,4,2
5,3,2,5,5,4,5,5,4,4,4,4,5,5,4,4,3,4,4,4,4,5,3,5,5,5,5,5,5,1,5,5,5,5,4,5,4,5,2
4,4,3,4,4,9,4,3,4,4,5,5,4,5,3,4,4,4,4,4,3,4,4,4,4,4,2,2,3,4,3,3,9,9,2,5,4,4,1
3,3,2,3,3,3,3,3,3,2,4,4,4,4,3,3,3,4,4,3,3,2,2,4,3,3,4,3,2,2,4,3,3,3,3,4,3,4,2
5,5,5,5,5,9,9,9,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
1,1,1,1,2,1,4,3,3,2,1,1,3,1,1,9,2,1,1,9,9,3,1,3,3,3,3,1,1,4,3,1,1,1,1,4,1,2,3
4,3,3,3,4,3,4,3,4,4,2,4,4,3,2,2,3,4,4,4,3,3,3,4,3,4,4,3,2,3,4,2,9,2,3,3,3,4,2
5,5,4,4,4,3,3,4,3,4,4,5,5,5,4,5,5,5,5,5,4,4,3,5,5,4,4,3,4,4,4,5,3,4,4,3,3,5,2
5,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,1,4,4,4,4,5,1
4,4,3,3,4,3,9,4,4,4,3,4,4,4,3,4,4,4,4,2,4,3,3,4,4,2,3,3,3,4,2,4,3,4,4,4,3,4,2
4,4,4,5,4,3,4,4,2,4,2,5,4,4,4,4,4,4,3,3,4,4,3,5,5,4,4,4,4,4,4,3,2,3,4,4,3,5,2
5,4,4,3,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,2,4,2,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,1
5,5,5,5,5,3,3,3,4,4,5,5,5,4,2,5,4,4,4,3,3,4,2,5,4,4,4,4,5,5,5,4,2,2,2,3,3,5,1
5,5,5,4,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,1
5,4,4,3,4,3,4,5,3,4,2,5,5,5,4,4,4,4,4,5,4,4,9,3,4,4,4,4,4,4,4,4,4,4,3,4,4,5,1
5,5,5,5,5,9,5,5,3,4,4,5,5,5,5,5,5,5,5,5,4,4,4,5,5,4,4,4,4,4,4,5,3,4,4,5,4,4,1
4,5,5,3,4,3,4,5,3,2,4,5,5,5,5,5,5,4,5,5,5,4,4,5,4,4,4,5,4,4,4,4,3,4,4,4,4,5,1
5,4,3,4,4,9,3,4,4,4,4,4,5,3,3,2,4,3,4,5,3,3,2,4,4,4,4,4,1,4,3,2,4,3,4,5,4,5,2
5,4,5,4,5,4,5,4,4,5,5,5,5,5,5,4,4,4,4,5,4,2,4,4,4,4,4,4,4,4,5,4,4,4,5,4,5,4,1
5,5,4,4,5,3,4,4,3,5,3,5,5,5,4,5,5,3,4,5,4,3,2,5,5,5,3,2,4,4,4,4,4,4,3,4,5,4,1
5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
3,3,2,3,3,9,4,2,2,1,1,5,5,4,3,4,5,4,4,4,2,2,1,3,4,3,3,3,4,3,4,3,4,3,5,5,5,3,2
5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
